
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
30,,Spot,2,Image 1,14,1000224241,395984,
14,,Spot,2,Image 1,14,1000019405,396019,
34,,Spot,2,Image 1,14,1000224431,396145,
69,,Spot,2,Image 1,14,1000338312,396273,
252,,Spot,2,Image 1,14,1000165097,396760,
0,,Spot,2,Image 1,14,1000196023,398660,
0,,Spot,2,Image 1,14,1000253547,398711,
38,,Spot,2,Image 1,14,1000282540,398941,
20,,Spot,2,Image 1,14,1000282868,399235,
0,,Spot,2,Image 1,14,1000196749,399414,
0,,Spot,2,Image 1,14,1000080712,399444,
0,,Spot,2,Image 1,14,1000373068,399716,
0,,Spot,2,Image 1,14,1000312915,399918,
0,,Spot,2,Image 1,14,1000111173,399990,
0,,Spot,2,Image 1,14,1000371442,400244,
0,,Spot,2,Image 1,14,1000027048,400915,
42,,Spot,2,Image 1,14,1000401657,401657,
42,,Spot,2,Image 1,14,1000026374,402334,
18,,Spot,2,Image 1,14,1000402605,402605,
64,,Spot,2,Image 1,14,1000199932,402701,
0,,Spot,2,Image 1,14,1000257305,402717,
0,,Spot,2,Image 1,14,1000024512,402891,
35,,Spot,2,Image 1,14,1000405139,405139,
23,,Spot,2,Image 1,14,1000260417,405314,
0,,Spot,2,Image 1,14,1000260594,405853,
0,,Spot,2,Image 1,14,1000145899,406550,
0,,Spot,2,Image 1,14,1000232501,406554,
0,,Spot,2,Image 1,14,1000290426,406557,
